"barrels08","city08","highway08","comb08","co2TailpipeGpm","cylinders","displ","drive","fuelCost08","fuelType","id","make","model","mpgData","pv2","pv4","trany","VClass","year"
20.600625,15,18,16,555.4375,6,3.4,"4-Wheel or All-Wheel Drive","2650","Regular",16171,"Toyota","Tacoma 4WD","Y","0","0","Automatic 4-spd","Standard Pickup Trucks 4WD","2000"
20.600625,15,18,16,555.4375,6,3.4,"4-Wheel or All-Wheel Drive","2650","Regular",16172,"Toyota","Tacoma 4WD","Y","0","0","Manual 5-spd","Standard Pickup Trucks 4WD","2000"
21.974,14,16,15,592.466666666667,6,3.4,"4-Wheel or All-Wheel Drive","2850","Regular",16173,"Toyota","Tundra 4WD","N","0","0","Automatic 4-spd","Standard Pickup Trucks 4WD","2000"
21.974,14,16,15,592.466666666667,6,3.4,"4-Wheel or All-Wheel Drive","2850","Regular",16174,"Toyota","Tundra 4WD","N","0","0","Manual 5-spd","Standard Pickup Trucks 4WD","2000"
23.5435714285714,13,16,14,634.785714285714,8,4.7,"4-Wheel or All-Wheel Drive","3050","Regular",16175,"Toyota","Tundra 4WD","Y","0","0","Automatic 4-spd","Standard Pickup Trucks 4WD","2000"
21.974,14,17,15,592.466666666667,6,4,"Rear-Wheel Drive","2850","Regular",16213,"Ford","Postal Vehicle","N","0","0","Automatic 5-spd","Minivan - 2WD","2000"
23.5435714285714,13,17,14,634.785714285714,6,2.8,"Front-Wheel Drive","3050","Regular",16214,"Volkswagen","Eurovan Camper","N","0","0","Automatic 4-spd","Minivan - 2WD","2000"
17.3478947368421,17,24,19,467.736842105263,6,3.4,"Front-Wheel Drive","2250","Regular",16215,"Chevrolet","Venture FWD","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
18.3116666666667,16,22,18,493.722222222222,6,3.3,"Front-Wheel Drive","2350","Regular",16216,"Chrysler","Town and Country/Voyager/Grand Voy. 2WD","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
18.3116666666667,15,22,18,493.722222222222,6,3.8,"Front-Wheel Drive","2350","Regular",16217,"Chrysler","Town and Country/Voyager/Grand Voy. 2WD","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
16.4805,18,24,20,444.35,4,2.4,"Front-Wheel Drive","2100","Regular",16218,"Dodge","Caravan/Grand Caravan 2WD","Y","0","0","Automatic 3-spd","Minivan - 2WD","2000"
17.3478947368421,16,23,19,467.736842105263,6,3,"Front-Wheel Drive","2250","Regular",16219,"Dodge","Caravan/Grand Caravan 2WD","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
17.3478947368421,16,23,19,467.736842105263,6,3.3,"Front-Wheel Drive","2250","Regular",16220,"Dodge","Caravan/Grand Caravan 2WD","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
18.3116666666667,15,22,18,493.722222222222,6,3.8,"Front-Wheel Drive","2350","Regular",16221,"Dodge","Caravan/Grand Caravan 2WD","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
18.3116666666667,15,22,18,493.722222222222,6,3.8,"Front-Wheel Drive","2350","Regular",16222,"Dodge","Caravan/Grand Caravan 2WD","N","0","0","Automatic 4-spd","Minivan - 2WD","2000"
19.3888235294118,15,21,17,522.764705882353,6,3,"Front-Wheel Drive","2500","Regular",16223,"Ford","Windstar FWD Cargo Van","N","0","0","Automatic 4-spd","Minivan - 2WD","2000"
18.3116666666667,16,21,18,493.722222222222,6,3.8,"Front-Wheel Drive","2350","Regular",16224,"Ford","Windstar FWD Cargo Van","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
19.3888235294118,15,21,17,522.764705882353,6,3,"Front-Wheel Drive","2500","Regular",16225,"Ford","Windstar FWD Wagon","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
19.3888235294118,15,21,17,522.764705882353,6,3.8,"Front-Wheel Drive","2500","Regular",16226,"Ford","Windstar FWD Wagon","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
17.3478947368421,16,23,19,467.736842105263,6,3.5,"Front-Wheel Drive","2250","Regular",16227,"Honda","Odyssey","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
18.3116666666667,16,21,18,493.722222222222,6,2.5,"Front-Wheel Drive","2350","Regular",16228,"Mazda","MPV","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
18.3116666666667,15,22,18,493.722222222222,6,3.3,"Front-Wheel Drive","2350","Regular",16229,"Mercury","Villager FWD Wagon","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
18.3116666666667,15,22,18,493.722222222222,6,3.3,"Front-Wheel Drive","2350","Regular",16230,"Nissan","Quest","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
17.3478947368421,17,24,19,467.736842105263,6,3.4,"Front-Wheel Drive","2250","Regular",16231,"Oldsmobile","Silhouette 2WD","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
16.4805,18,24,20,444.35,4,2.4,"Front-Wheel Drive","2100","Regular",16232,"Plymouth","Voyager/Grand Voyager 2WD","Y","0","0","Automatic 3-spd","Minivan - 2WD","2000"
17.3478947368421,16,23,19,467.736842105263,6,3,"Front-Wheel Drive","2250","Regular",16233,"Plymouth","Voyager/Grand Voyager 2WD","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
17.3478947368421,16,23,19,467.736842105263,6,3.3,"Front-Wheel Drive","2250","Regular",16234,"Plymouth","Voyager/Grand Voyager 2WD","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
18.3116666666667,15,22,18,493.722222222222,6,3.8,"Front-Wheel Drive","2350","Regular",16235,"Plymouth","Voyager/Grand Voyager 2WD","N","0","0","Automatic 4-spd","Minivan - 2WD","2000"
17.3478947368421,17,24,19,467.736842105263,6,3.4,"Front-Wheel Drive","2250","Regular",16236,"Pontiac","Montana FWD","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
17.3478947368421,16,22,19,467.736842105263,6,3,"Front-Wheel Drive","2250","Regular",16237,"Toyota","Sienna 2WD","Y","0","0","Automatic 4-spd","Minivan - 2WD","2000"
